,song_title,artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,target
172,Love In Motion - feat. Mayer Hawthorne,Sebastian,low,high,high,low,medium,high,low,negative,Yes
173,Save the World,Swedish House Mafia,low,medium,high,low,low,high,low,verynegative,Yes
174,Myth,Beach House,low,medium,high,low,low,high,low,negative,Yes
175,Ready 2 Go,Martin Solveig,low,medium,high,low,low,high,low,negative,Yes
176,We Are Young - The Popopopops Remix,Juveniles,low,medium,high,low,low,high,low,verynegative,Yes
177,Bop Gun (One Nation) - Radio Edit,Ice Cube,medium,high,high,low,low,high,low,verypositive,Yes
178,La Funky,Destructo feat. Oliver,low,high,high,high,low,high,low,negative,Yes
179,In My Mind (Axwell Remix),Ivan Gough & Feenixpawl feat. Georgi Kay,low,high,high,low,low,high,low,negative,Yes
180,On'n'On - Ruined by Rick Rubin,Justice,low,high,high,low,low,high,low,negative,Yes
181,Don't Die,Killer Mike,low,medium,high,low,low,high,low,verynegative,Yes
182,Van Vogue,Azealia Banks,low,high,high,low,low,high,medium,verynegative,Yes
183,How Do You Do?,Hot Chip,low,high,high,low,low,high,low,verypositive,Yes
184,Night And Day,Hot Chip,low,high,high,low,low,high,low,positive,Yes
185,Don't Deny Your Heart,Hot Chip,low,high,high,low,low,high,low,verypositive,Yes
186,Focused - feat. Kid Cudi,Wale,low,high,high,low,low,high,low,negative,Yes
187,Neptune,Lemonade,low,low,high,low,low,high,low,negative,Yes
188,"Function - feat. YG, IAmSu & Problem",E-40,low,high,medium,low,low,high,low,negative,Yes
189,Didn't You,Cloud Nothings,low,low,high,low,low,high,low,positive,Yes
190,Search Party,Small Black,low,medium,high,low,low,high,low,positive,Yes
191,Mi Swing es Tropical,Nickodemus,low,high,high,low,medium,high,low,verypositive,Yes
192,Stock Exchange,Miss Kittin,low,high,medium,high,low,high,low,verypositive,Yes
193,Changes,Crazy P,low,high,medium,low,low,high,low,positive,Yes
194,Play This (Also),J Rocc,low,medium,high,high,low,high,low,negative,Yes
195,Obedear,Purity Ring,low,medium,high,low,medium,high,low,verynegative,Yes
196,Slow Down,Poolside,low,high,high,low,low,high,low,negative,Yes
197,I Don't Like,Chief Keef,low,high,high,low,low,high,low,positive,Yes
198,Sleeping Ute,Grizzly Bear,low,low,medium,low,low,high,low,negative,Yes
199,Hands On the Wheel (feat. a$Ap Rocky),ScHoolboy Q,low,medium,high,low,low,high,low,verynegative,Yes
200,The Kids Were Wrong,Memoryhouse,low,medium,medium,low,low,high,low,positive,Yes
201,Walk With Me,Memoryhouse,medium,medium,medium,high,low,medium,low,verynegative,Yes
202,Her Fantasy,Matthew Dear,low,medium,high,low,medium,high,low,verynegative,Yes
203,Der Kommissar,After The Fire,low,high,high,low,low,high,low,verypositive,Yes
204,Slow Down,Clyde Carson,low,high,medium,low,low,high,low,verynegative,Yes
205,Genesis,Grimes,low,medium,high,low,low,high,low,verynegative,Yes
206,About to Die,Dirty Projectors,medium,high,medium,low,low,high,low,verypositive,Yes
207,Best Night,The War On Drugs,low,medium,high,high,medium,high,low,negative,Yes
208,Brothers,The War On Drugs,low,medium,high,high,low,high,low,positive,Yes
209,We Own The Sky,M83,low,medium,high,low,low,high,low,verynegative,Yes
210,Chicken Half,Sugarman Three,medium,medium,high,high,low,high,low,verypositive,Yes
211,Two Of Hearts,Stacey Q,low,high,medium,low,low,high,low,positive,Yes
212,The Perfect Kiss,New Order,low,medium,high,low,low,high,low,verypositive,Yes
213,Can I Kick It?,A Tribe Called Quest,low,high,high,low,low,high,low,positive,Yes
214,Sure Thing,Miguel,low,high,medium,low,low,high,low,positive,Yes
215,Kim & Jessie,M83,low,medium,medium,medium,low,high,low,verynegative,Yes
216,Outro,M83,low,low,low,low,low,medium,low,verynegative,Yes
217,We Are the People,Empire of the Sun,low,high,high,low,low,high,low,positive,Yes
218,Look At Where We Are,Hot Chip,medium,high,medium,low,low,high,low,positive,Yes
219,Don't Owe You a Thang,Gary Clark Jr.,low,medium,high,low,low,high,low,negative,Yes
220,Money Trees,Kendrick Lamar,low,high,medium,low,low,high,low,negative,Yes
221,Hood Pass Intact feat. MC Eiht,Dâm-Funk,low,high,high,low,low,high,low,positive,Yes
222,Got No Money,FIDLAR,low,medium,high,medium,low,high,low,verypositive,Yes
223,Birthday Song,2 Chainz,low,high,medium,low,low,high,low,verynegative,Yes
224,Oh,FIDLAR,low,medium,high,low,low,high,low,positive,Yes
225,No Waves,FIDLAR,low,medium,high,low,low,high,low,positive,Yes
226,Wake Bake Skate,FIDLAR,low,low,high,low,low,high,low,positive,Yes
227,No Ass,FIDLAR,low,medium,high,high,medium,high,low,negative,Yes
228,Black Out Stout,FIDLAR,low,low,high,high,low,high,low,negative,Yes
229,Plague,Crystal Castles,low,medium,medium,high,low,high,low,verynegative,Yes
230,Kerosene,Crystal Castles,low,medium,medium,low,low,high,low,verynegative,Yes
231,Wrath Of God,Crystal Castles,low,medium,medium,medium,low,high,low,negative,Yes
232,Pale Flesh,Crystal Castles,low,medium,medium,low,low,high,low,positive,Yes
233,Past Lives,DIIV,low,low,high,high,low,high,low,positive,Yes
234,Pictures Of Matchstick Men,Status Quo,low,low,medium,low,low,high,low,positive,Yes
235,Get Up,Craig Bratley,low,high,high,high,low,high,low,negative,Yes
236,Cloud Atlas End Title,Tom Tykwer,high,medium,low,high,low,high,low,verynegative,Yes
237,Keep You,Wild Belle,low,medium,high,low,low,high,low,verypositive,Yes
238,Anything New,Bibio,low,medium,medium,low,low,high,low,positive,Yes
239,Adorn,Miguel,low,medium,medium,low,low,high,low,verynegative,Yes
240,Louie Louie,Toots & The Maytals,low,high,high,low,low,high,low,verypositive,Yes
241,Under Mi Sensi,Barrington Levy,low,high,high,low,low,high,low,negative,Yes
242,Loner,Burial,high,medium,high,high,low,high,low,negative,Yes
243,Murderer,Barrington Levy,low,high,medium,low,low,high,low,positive,Yes
244,Space Cakes - Original,Tanner Ross,low,high,medium,high,low,medium,low,negative,Yes
245,"There, There",Radiohead,low,medium,high,medium,low,high,low,positive,Yes
246,Nightcall,Kavinsky,low,medium,high,low,medium,high,low,negative,Yes
247,Jacket & Tie,Toyan,medium,high,high,low,low,high,low,verypositive,Yes
248,Doom And Gloom - Jeff Bhasker Mix,The Rolling Stones,low,medium,high,low,low,high,low,positive,Yes
249,All Of Me,Tanlines,low,high,high,low,low,high,low,verypositive,Yes
250,Females Welcomed (feat. Reija Lee),Trinidad James,low,high,medium,low,low,high,medium,positive,Yes
251,Blueberry (Pills & Cocaine) (feat. Danny Brown),Darq E Freaker,low,medium,high,low,high,high,low,verypositive,Yes
252,Max Can't Surf,FIDLAR,low,medium,high,low,low,high,low,negative,Yes
253,Wait for the Man,FIDLAR,low,low,high,low,low,high,low,verynegative,Yes
254,Inspector Norse,Todd Terje,low,high,high,high,medium,high,low,verypositive,Yes
255,Love Sosa,Chief Keef,low,high,medium,low,low,high,low,verynegative,Yes
256,This Time Around,Softwar,low,high,high,high,low,high,low,negative,Yes
257,See Blind Through,Canyons,low,high,high,low,low,high,low,positive,Yes
258,Vowels = space and time,Grimes,low,high,high,low,low,high,low,positive,Yes
259,Be A Body,Grimes,low,high,medium,high,low,high,low,verynegative,Yes
260,Unchained (The Payback / Untouchable),James Brown,low,medium,high,low,medium,high,low,positive,Yes
261,Stomp - Dirty,5kinAndBone5,low,high,medium,low,low,high,low,positive,Yes
262,Borrowed Time,Parquet Courts,low,medium,high,high,medium,high,low,verypositive,Yes
263,Young N*****,Gucci Mane,low,high,high,low,low,high,low,verypositive,Yes
264,All Gold Everything,Trinidad James,low,medium,high,low,low,high,medium,positive,Yes
265,What I Might Do - Club Mix,Ben Pearce,low,high,medium,high,low,high,low,negative,Yes
266,I Love It (feat. Charli XCX) - Original Version,Icona Pop,low,high,high,low,low,high,low,verypositive,Yes
267,Kenosha,Swearin',low,medium,high,high,low,high,low,positive,Yes
268,Fineshrine,Purity Ring,low,medium,high,low,medium,high,low,negative,Yes
269,Flow,Disclosure,low,high,high,high,low,high,low,verynegative,Yes
270,C'Est La Vie,Booba,low,high,medium,low,low,high,low,verynegative,Yes
271,Caramel,Booba,low,high,medium,low,low,high,low,negative,Yes
272,O.G,Booba,low,high,medium,low,low,high,low,verynegative,Yes
273,HLM 3,Lunatic,low,medium,high,low,low,high,medium,verypositive,Yes
274,The Mighty Ming - Original Club Mix,Funkagenda,low,medium,high,high,low,high,low,verynegative,Yes
275,Harlem Shake,Baauer,low,medium,high,low,medium,high,low,negative,Yes
276,Purp Walk,Lunice,low,high,medium,medium,low,high,low,verypositive,Yes
277,Do You Like It? (Feat. Kool A.D),Chaz Van Queen,medium,high,high,low,low,high,medium,positive,Yes
278,Gucci On The Rise,Gucci Mane,low,high,high,low,low,high,low,positive,Yes
279,Hate Bein' Sober,Chief Keef,low,high,medium,low,low,high,low,negative,Yes
280,Traffic,Lil Reese,low,high,medium,low,low,high,low,negative,Yes
281,Hold Me Back,Rick Ross,low,medium,high,low,low,high,low,negative,Yes
282,Oldie,Odd Future,low,high,medium,low,low,high,low,positive,Yes
283,Started From the Bottom,Drake,low,high,medium,low,low,high,low,negative,Yes
284,Dum Dum,Baauer,low,high,high,low,medium,high,low,positive,Yes
285,Higher - Extended,Just Blaze and Baauer,low,medium,high,medium,medium,high,low,negative,Yes
286,"Gone, Gone",Juicy J,low,high,high,low,low,high,low,positive,Yes
287,Rock Creek Park,The Blackbyrds,low,high,high,low,low,medium,low,positive,Yes
288,Leaving Babylon,Bad Brains,low,high,low,low,low,low,low,positive,Yes
289,Trap Shit V7,UZ,low,high,high,high,low,high,low,positive,Yes
290,Good Life - Original 12'' Mix,Inner City,low,high,high,low,low,high,low,positive,Yes
291,Big Fun - Original 12'' Mix,Inner City,low,high,high,high,low,high,low,verypositive,Yes
292,Piss Test (feat. Juicy J & Dany Brown),A-Trak,low,high,high,low,low,high,low,verypositive,Yes
293,Can't Seem To Make You Mine,Sky Saxon & The Seeds,low,high,medium,low,low,high,low,positive,Yes
294,Borderline,Classixx,medium,high,medium,medium,low,high,low,negative,Yes
295,Elevate - Q45 Remix,Toni Toni Lee,low,high,high,low,low,high,low,positive,Yes
296,With You (feat. Alexis Taylor),Carte Blanche (feat. Alexis Taylor),low,high,high,low,low,high,low,positive,Yes
297,Can't Shake This Feeling,Grum,low,high,high,low,low,high,low,positive,Yes
298,Check Me Out Like,Blaqstarr,low,high,medium,medium,low,medium,low,negative,Yes
299,Second Summer,YACHT,low,high,medium,low,low,high,low,verypositive,Yes
300,Demon To Lean On,Wavves,low,medium,high,low,medium,high,low,negative,Yes
301,Walk In The Park,Beach House,low,medium,medium,low,low,high,low,verypositive,Yes
302,Reckless (With Your Love),Azari & III,low,high,high,low,low,high,low,positive,Yes
303,Reckless (With Your Love) - Tensnake Remix,Azari & III,low,medium,high,high,low,high,low,negative,Yes
304,Never Be Your Woman (Shy FX Radio Edit) [feat. Emeli Sandé],Wiley,low,high,high,low,low,high,low,negative,Yes
305,(Bonus) Break Her Down,Iamsu!,low,high,medium,low,low,high,low,negative,Yes
306,Molly Ringwald,Danny Brown,low,medium,high,low,low,high,low,negative,Yes
307,8 Feet Tall,Problem,low,high,high,low,low,high,medium,positive,Yes
308,36 Chamber Flow,Flatbush Zombies,high,high,medium,low,low,high,medium,verypositive,Yes
309,Trill Hoe,Western Tink,low,high,medium,low,low,high,low,positive,Yes
310,Saturday Love,Toro y Moi,low,medium,high,low,low,high,low,positive,Yes
311,Sweater Weather,The Neighbourhood,low,high,medium,low,low,high,low,negative,Yes
312,Oh My - Club Mix,The Partysquad,low,medium,high,low,low,high,low,verynegative,Yes
313,Saltkin,Purity Ring,low,high,high,low,medium,high,low,verypositive,Yes
314,Lofticries,Purity Ring,low,high,high,low,low,high,low,negative,Yes
315,Get It In,Iamsu!,low,medium,high,low,low,high,low,negative,Yes
316,My Bad - Club Mix,The Partysquad,low,high,high,medium,low,high,low,verynegative,Yes
317,I'm Different,2 Chainz,low,high,high,low,low,high,low,positive,Yes
318,Get Lucky - Radio Edit,Daft Punk,low,high,high,low,low,high,low,verypositive,Yes
319,Had A Dream,EMP DASME,low,high,medium,low,low,high,low,verypositive,Yes
320,Recover,CHVRCHES,low,medium,high,low,medium,high,low,verynegative,Yes
321,Now Is Not the Time,CHVRCHES,low,medium,medium,low,low,high,low,negative,Yes
322,MDA,Problem,low,high,high,low,low,high,low,verynegative,Yes
323,Pop That,French Montana,low,high,high,low,medium,high,low,positive,Yes
324,Young & Gettin' It - feat. Kirko Bangz,Meek Mill,low,medium,high,low,low,high,low,verypositive,Yes
325,Best Wishes,Iamsu!,medium,medium,medium,low,low,high,low,negative,Yes
326,Kids,Iamsu!,low,high,high,low,low,high,low,negative,Yes
327,Levitate,Paper Diamond,low,medium,high,medium,low,medium,low,positive,Yes
328,Get Free (feat. Amber of Dirty Projectors),Major Lazer,low,medium,medium,low,low,high,low,verypositive,Yes
329,Balance,Future Islands,low,medium,high,high,high,high,low,verynegative,Yes
330,The Lion - Original Mix,The Partysquad,low,high,high,low,medium,high,low,positive,Yes
331,For Your Love - Club Edit,The Partysquad,low,high,medium,low,low,high,low,negative,Yes
332,For Your Love - Olav Basoski Remix,The Partysquad,low,high,high,high,low,high,low,verynegative,Yes
333,Slippin’,Quadron,low,high,medium,low,medium,high,low,verypositive,Yes
334,Take You On,Peaches,low,high,medium,medium,low,high,low,negative,Yes
335,One of Those Nights,Juicy J,low,high,medium,low,low,high,low,verynegative,Yes
336,Get Lucky - Daft Punk Remix,Daft Punk,low,high,high,low,low,high,low,verypositive,Yes
337,No Way Back,Adonis,low,high,high,high,low,low,low,negative,Yes
338,Ride The Rhythm,On The House featuring Marshall Jefferson,low,high,medium,low,low,low,medium,verypositive,Yes
339,Move Your Body - Extended Mix,Benny Benassi,low,medium,high,low,low,high,low,verynegative,Yes
340,Rockin' In The Free World,Neil Young,low,medium,high,low,medium,high,low,positive,Yes
341,Feels Like We Only Go Backwards,Tame Impala,low,low,high,medium,low,high,low,positive,Yes
342,Half Full Glass of Wine,Tame Impala,low,high,high,low,low,high,low,positive,Yes
343,"Bubble Butt [Radio Mix] [feat. Bruno Mars, 2 Chainz, Tyga & Mystic]",Major Lazer,low,high,medium,low,medium,high,low,negative,Yes
344,Wop (Official Version),J. Dash,low,high,high,low,low,high,low,positive,Yes
345,Don’t Drop That Thun Thun,Finatticz,low,high,medium,low,low,high,low,positive,Yes
346,Give It Away,Red Hot Chili Peppers,low,high,high,low,low,high,low,verypositive,Yes
347,Wakin on a Pretty Day,Kurt Vile,low,medium,high,high,low,high,low,positive,Yes
348,Hulk (Dillon Francis Remix),Clockwork,low,high,high,medium,medium,high,low,negative,Yes
349,Dill the Noise,Dillon Francis and Kill The Noise,low,high,high,medium,low,high,low,negative,Yes
350,Dead Sound,The Raveonettes,low,medium,high,high,low,high,low,negative,Yes
351,Rvtchet Bitch,Brillz & Teddy Tuxedo,low,medium,high,medium,medium,high,low,verynegative,Yes
352,Swing,Savage,low,high,medium,low,low,high,low,verypositive,Yes
353,You & Me - Baauer Remix,Disclosure,low,medium,high,low,medium,high,low,positive,Yes
354,Next Order,Dog Blood,low,high,high,high,medium,high,low,negative,Yes
355,It's You,Duck Sauce,low,high,high,low,medium,high,low,verypositive,Yes
356,m.A.A.d city,Kendrick Lamar,low,medium,high,low,medium,high,low,verynegative,Yes
357,Bounce It,Juicy J,low,high,medium,low,low,high,low,positive,Yes
358,Pu$$y Magnet (feat. Keayshawn),Roach Gigz,low,high,medium,low,low,high,low,positive,Yes
359,Fashion Killa,A$AP Rocky,low,high,high,low,medium,high,low,verypositive,Yes
360,I Wanna Be With You,DJ Khaled,low,high,high,low,low,high,low,negative,Yes
361,Gas Pedal (feat. IamSu),Sage The Gemini,low,high,medium,low,low,high,low,negative,Yes
362,Red Nose,Sage The Gemini,medium,high,medium,low,low,high,low,verypositive,Yes
363,"U.O.E.N.O. Remix (feat. Future, Wiz Khalifa)",Rocko,medium,medium,high,low,high,high,medium,positive,Yes
364,VERSACE,Flap Jack,low,high,high,low,medium,high,low,negative,Yes
365,Strictly 4 My Jeeps,Action Bronson,medium,medium,high,low,low,high,low,negative,Yes
366,The Giver - Original Mix,Duke Dumont,low,high,high,low,low,high,low,negative,Yes
367,Lean & Bounce,Duke Dumont,low,high,high,high,low,high,low,positive,Yes
368,Swishas and Dosha - Main Version - Clean,UGK,low,medium,high,low,low,high,low,positive,Yes
369,Players Anthem,UGK,low,high,high,low,high,high,low,positive,Yes
370,"Hold On, We're Going Home",Drake,low,high,medium,low,low,high,low,negative,Yes
371,Living,2 Chainz,medium,high,medium,low,low,high,low,positive,Yes
372,Taylor Gang - Bonus Track,Wiz Khalifa,low,medium,high,low,high,high,low,positive,Yes
373,I'm A Martian,Brian Pumper,low,high,medium,low,low,high,low,positive,Yes
374,The Drop,Bro Safari,low,high,high,low,medium,high,low,positive,Yes
375,Drippin,MiM0SA,low,medium,high,low,low,high,low,verynegative,Yes
376,Heaven,TR/ST,low,medium,high,low,low,high,low,positive,Yes
377,I Need You,Glass Figure,low,medium,high,low,medium,high,low,verynegative,Yes
378,From Nowhere,Dan Croll,low,medium,high,low,low,high,low,positive,Yes
379,I Follow Rivers,Lykke Li,medium,medium,medium,low,low,low,low,positive,Yes
380,L'Amour Parfait,Yelle,medium,high,high,low,low,high,low,verypositive,Yes
381,Northern Lights,Kate Boy,low,high,high,low,low,high,low,positive,Yes
382,Shabba,A$AP Ferg,low,high,high,low,medium,high,low,negative,Yes
383,Work,A$AP Ferg,low,high,high,high,low,high,low,positive,Yes
384,Work REMIX,A$AP Ferg,low,high,high,low,low,high,low,negative,Yes
385,The Way We Are,Kate Boy,low,high,high,low,low,high,low,verypositive,Yes
386,"U.O.E.N.O. (feat. Rick Ross, Future)",Rocko,medium,medium,medium,low,low,high,low,positive,Yes
387,Now You Do,A-1,low,medium,high,low,low,high,low,negative,Yes
388,Holding On - Jerome LOL Remix,Classixx,low,high,high,low,medium,high,low,positive,Yes
389,Music Is the Answer - Original Extended 12-Inch Mix,Celeda,low,high,medium,low,low,high,low,negative,Yes
390,Test Me - UZ Remix,Flosstradamus & DJ Sliink,low,high,high,low,low,high,low,positive,Yes
391,Test Me,Flosstradamus & DJ Sliink,low,high,high,low,medium,high,low,negative,Yes
392,No New Friends - SFTB Remix,DJ Khaled,low,high,high,low,medium,high,low,verynegative,Yes
393,R.I.P.,Jeezy,low,high,medium,low,low,high,low,negative,Yes
394,Baby Blue,Badfinger,low,medium,high,low,low,high,low,positive,Yes
395,Dip,Danny Brown,low,high,high,low,low,high,low,positive,Yes
396,25 Bucks [feat. Purity Ring],Danny Brown,low,high,high,low,low,high,low,negative,Yes
397,Fascism,Sam Sparro,low,medium,high,low,low,high,low,positive,Yes
398,Marc Jacobs,Riff Raff,low,high,medium,low,low,high,low,negative,Yes
399,One Of Us - Original Mix,Iron Galaxy & Sexlife,low,high,high,high,low,high,low,positive,Yes
400,Can We Go Up?,Paper Diamond,low,high,high,low,low,high,low,positive,Yes
401,This Lonely Morning,Best Coast,low,low,high,low,low,high,low,negative,Yes
402,Time Has Come Today,The Chambers Brothers,low,medium,medium,low,low,medium,low,negative,Yes
403,Sad Eyes,Crystal Castles,low,medium,high,low,low,high,low,negative,Yes
404,Wearing My Rolex - Radio Edit,Wiley,low,high,high,low,low,high,low,verypositive,Yes
405,Need U (100%) [feat. A*M*E] [Radio Edit],Duke Dumont,low,high,high,low,medium,high,low,negative,Yes
406,Stoned and Starving,Parquet Courts,low,low,high,high,low,high,low,negative,Yes
407,Reflektor,Arcade Fire,low,medium,high,low,medium,high,low,positive,Yes
408,Jack,Breach,low,high,medium,medium,low,high,low,positive,Yes
409,Tennis Court,Lorde,low,high,medium,low,low,high,low,negative,Yes
410,Primetime (feat. Miguel),Janelle Monáe,low,high,medium,low,medium,high,low,negative,Yes
411,"Hold On, We're Going Home",Drake,low,high,medium,low,low,high,low,negative,Yes
412,Hannah Hunt,Vampire Weekend,high,medium,low,low,low,high,low,verynegative,Yes
413,Latch,Disclosure,low,medium,high,low,low,high,low,positive,Yes
414,Play by Play,Autre Ne Veut,low,medium,high,low,low,high,low,verynegative,Yes
415,I Blame Myself,Sky Ferreira,medium,high,high,low,low,high,low,verypositive,Yes
416,Sunday,Earl Sweatshirt,low,high,medium,low,medium,high,low,verypositive,Yes
417,Step,Vampire Weekend,medium,medium,high,low,low,high,low,positive,Yes
418,You're Not Good Enough,Blood Orange,low,high,high,low,low,high,low,positive,Yes
419,Strandbar (disko),Todd Terje,low,high,high,high,low,high,low,verypositive,Yes
420,Open,Rhye,high,medium,low,low,low,high,low,verynegative,Yes
421,Falling,HAIM,low,high,high,low,low,high,low,negative,Yes
422,White Noise,Disclosure,low,high,high,low,low,high,low,verypositive,Yes
423,Bumpy Road,Destruction Unit,low,low,high,high,low,high,low,verynegative,Yes
424,Shabba,A$AP Ferg,low,high,high,low,low,high,low,negative,Yes
425,Work REMIX,A$AP Ferg,low,high,high,low,low,high,low,negative,Yes
426,Dope,Tyga,low,high,medium,low,low,high,low,negative,Yes
427,Here Comes The Night Time II,Arcade Fire,medium,low,medium,high,low,low,low,verynegative,Yes
428,Warm In The Winter,Glass Candy,low,medium,high,low,low,medium,low,verynegative,Yes
429,Don't Let It Get to Your Head,Black Harmony,low,high,medium,low,low,high,low,positive,Yes
430,We Fall Down,ASTR,low,medium,high,low,medium,high,low,verynegative,Yes
431,R U With Me,ASTR,low,medium,high,low,low,high,low,negative,Yes
432,Blue Hawaii,ASTR,low,medium,high,low,medium,high,low,negative,Yes
433,Razor,ASTR,low,high,high,low,low,high,low,positive,Yes
434,Stay,Rihanna,high,medium,low,low,low,high,low,verynegative,Yes
435,The Sound Of San Francisco - Progressive Album Mix,Global Deejays,low,high,high,low,low,high,low,positive,Yes
436,Sunshine Of Your Love,Cream,medium,high,medium,low,low,medium,low,verypositive,Yes
437,Somebody to Love,Jefferson Airplane,medium,medium,medium,low,low,high,low,positive,Yes
