Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/22/2021,23,16,18.8,,,0,,,11.2,293.82,,4,23.1,73.52,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/23/2021,23.5,14,18.9,,,0,,,12.1,141.95,,4.6,16.9,71.28,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/24/2021,24.4,16,20,,,0,,,17.5,115.67,,5.3,23.3,70.94,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/25/2021,22,19,20.5,,,0.2,,,13.9,120.58,,4.3,71,86.16,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/26/2021,25,19,21.2,,,0,,,20.5,135.83,,7.1,51.6,76.87,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/27/2021,23.7,18,20.6,,,0,,,15.7,115.25,,8.6,89.2,73.56,Overcast
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/28/2021,20,16,18.3,,,0.3,,,21.4,138.75,,8.3,91.9,74.42,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/29/2021,22,16,18.4,,,0,,,13.9,139.5,,8.1,72.4,67.14,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/30/2021,19.3,15,17.5,,,0.1,,,11.2,80.67,,4.9,80.5,82.27,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",01/31/2021,19,17,18.3,,,0.98,,,8.5,83.48,,3.7,88.2,85.86,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/01/2021,23.1,18,20.2,,,0,,,13,120.91,,5.6,71.5,80.39,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/02/2021,23,18.8,20.5,,,0,,,14.8,115.83,,6.9,69.8,79.36,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/03/2021,25.5,18,21.1,,,0,,,16.6,112.83,,7.2,37.6,74.32,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/04/2021,24,17,20.1,,,0.1,,,12.1,101.91,,6.2,51.6,80.78,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/05/2021,26,17,21.1,,,0,,,13.9,107.91,,6.7,40.5,72.86,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/06/2021,24.6,17,20.3,,,0,,,13.9,109.3,,6.6,31.8,75.89,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/07/2021,26,17,21.2,,,0,,,13.9,119,,5.8,48.2,71.62,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/08/2021,23.7,16.5,20.5,,,7.99,,,23.2,299.64,,6.6,60.9,78.34,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/09/2021,17,15,15.9,,,45.93,,,20.5,264.21,,8,83.3,89.69,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/10/2021,23.7,14,18,,,0.3,,,13,266.9,,6.7,46,74.78,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/11/2021,24,14.9,19.4,,,0,,,14.8,64.42,,7.6,45.3,69.87,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/12/2021,22,17,19.3,,,0,,,16.6,146.43,,7.4,59.1,74.36,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/13/2021,23,15,19.4,,,0,,,15.7,94.59,,8.5,35.3,68.88,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/14/2021,26,19,21.9,,,0,,,13,139.63,,10,14.4,59.99,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/15/2021,22.4,17.5,20.1,,,0,,,13.9,94.13,,6.6,66,82.03,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/16/2021,22.3,19,20.3,,,0.52,,,12.1,78.58,,6.7,83,82.67,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/17/2021,21.4,19,20,,,0.1,,,18.5,174.13,33.5,9.3,75.6,69.15,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/18/2021,22.5,18,20.2,,,0,,,10.3,283.86,,9.1,44.9,67.31,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/19/2021,23.1,18,20.4,,,0,,,12.1,178.71,,6.5,47.1,73.05,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/20/2021,25,16,20.5,,,0,,,14.8,122.06,,6.2,36.9,62.83,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/21/2021,27,17,21.4,,26.9,0,,,22.3,116.55,,8.1,34.9,65.5,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/22/2021,25.2,20,22,,,0,,,20.5,147.87,,7.6,87.1,73.29,Overcast
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/23/2021,25.2,20,22.4,,,0,,,12.1,99.42,,7.1,88.5,72.77,Overcast
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/24/2021,25.4,20.8,22.6,,,0,,,22.3,134.33,,8.8,82.5,74.83,Overcast
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/25/2021,26,21,23,,,2.12,,,20.3,125.21,,8.1,91.2,79.53,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/26/2021,27.5,21.8,23.8,,28.4,0.1,,,15.7,116.79,,7.8,72.8,76.93,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/27/2021,23.1,16,18.9,,,6.18,,,19.4,69.58,,8.8,89.3,80.69,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",02/28/2021,18.7,16,17.3,,,1.36,,,12.1,82.74,,3.3,93.2,94.22,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/01/2021,23,18.5,20.6,,,0.7,,,11.2,170.25,,3.3,93.8,94.56,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/02/2021,21,18.9,19.8,,,9.44,,,25.9,98.61,,9.8,84.4,62.64,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/03/2021,19,16.8,18,,,0.1,,,12.1,49.08,,7.1,92.2,79,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/04/2021,18.8,16,17.1,,,8.04,,,11.2,48.92,,5.8,92.1,89.8,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/05/2021,20.7,17,19.2,,,0.8,,,14.8,105.71,,2.5,95.9,93.86,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/06/2021,27.1,19.9,23,,28.8,0.42,,,18.4,196.75,,5.5,78.1,86.05,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/07/2021,24.5,22,22.9,,,0.24,,,17.5,119.29,,8.7,78.9,73.26,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/08/2021,24,19.9,21.7,,,0.39,,,16.6,124.25,,4.9,93.1,93.6,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/09/2021,26,21.8,23.5,,,0.8,,,21.4,127,,7.1,91.7,90.17,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/10/2021,27.1,22,24,,28.9,0.76,,,24.1,123.96,,7.6,82.6,83.29,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/11/2021,26,22,23.8,,,2.8,,,17.6,123.75,,8.1,73.5,83.62,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/12/2021,28,21.9,24.2,,28.7,0,,,17.5,140.42,,7.6,53.3,79.61,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/13/2021,25,21.5,23.1,,,0.1,,,13.9,123.54,,6.7,62,86.67,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/14/2021,27,19.5,23.3,,27.9,0,,,15.7,123.38,,7.1,34,79.27,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/15/2021,26,21,23.7,,,0,,,17,131.79,,7.8,76.4,79.7,Overcast
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/16/2021,24.5,22,23.4,,,1.98,,,17.5,130.33,,6.1,91.6,92.01,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/17/2021,26,22.5,24.2,,,0.1,,,19.4,128.21,,7.2,90.8,87.82,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/18/2021,26.3,23,24.3,,,0.4,,,16.6,126.96,,6.5,90.6,89.29,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/19/2021,27.5,23,24.8,,29.7,0.3,,,20.5,128.42,,7.5,93,86.99,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/20/2021,26,23,24.2,,,0.63,,,14.8,127.96,,5.8,92.3,94.85,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/21/2021,24,18,20.9,,,13.4,,,29.7,99.67,,8,93.5,76.75,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/22/2021,20.1,17,18.3,,,0,,,18.4,100.71,,10.1,31,46,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/23/2021,22.5,17,19.2,,,0,,,12.1,144.86,,9.7,14.1,48.94,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/24/2021,21.2,18,19.8,,,0,,,12.1,117.82,,6.7,96.2,70.32,Overcast
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/25/2021,22.1,19,20,,,0.91,,,13,87.83,,3.1,98.2,93.56,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/26/2021,24.9,20.5,22.9,,,1.51,,,17.5,128.42,,4.8,94.2,93.66,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/27/2021,25,22,23.2,,,3.89,,,17.5,129.5,,4.9,93.3,95.47,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/28/2021,24.4,22,23.5,,,2.7,,,12.1,118.79,,4.6,95.9,96.17,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/29/2021,28.8,23,25.3,,33.6,0.1,,,15.7,116.87,,4.9,91.7,91.22,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/30/2021,27.4,24,25.1,,31,0.3,,,13.9,98.04,,4.2,93.2,93.75,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",03/31/2021,29.7,24,26,,35.5,0.3,,,17.5,101.17,,5.9,92.7,91.38,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/01/2021,29,24,26.3,,34.5,0.6,,,15.7,111.42,,6.7,90.6,90.09,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/02/2021,27,24.9,25.4,,31.2,0.69,,,15.7,114.25,,5,95.4,95.2,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/03/2021,27,24.9,25.3,,30.6,1.4,,,15.7,110.13,,6.3,94.6,94.36,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/04/2021,29.1,22,25.4,,33.6,0.2,,,19.4,98.48,,5.9,82.2,89.1,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/05/2021,25.1,21,22.7,,,10.41,,,14.8,94.83,,8.2,84.1,89.93,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/06/2021,29.5,21.5,25,,32.1,0.36,,,21.4,106.92,,7.5,71.4,82.64,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/07/2021,30,23.9,25.8,,32,0,,,18.4,128.88,,8.2,53,81.93,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/08/2021,30,24,26.2,,33,1.09,,,21.4,120.38,,8.2,72,83.65,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/09/2021,24,19,20.7,,,9.99,,,21.4,79.92,,9.1,98.5,87.51,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/10/2021,20.8,18,19.5,,,5.47,,,13,90.92,,4.5,95.1,95.17,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/11/2021,29,20,24.3,,32.2,1.11,,,20.5,113.63,,6.2,83.8,88.21,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/12/2021,29.6,23,26.4,,32.8,0.3,,,21.4,131.17,,8.5,85.2,80.68,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/13/2021,27.5,24,25.7,,30.6,0,,,17.5,125.46,,9,88.8,88.9,Overcast
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/14/2021,30,24.6,26.7,,34.7,0.2,,,18.5,111.5,,8.9,82,83.94,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/15/2021,27.4,24.9,25.9,,31.3,3.69,,,18.4,117.71,,8.7,91.1,91.88,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/16/2021,30,25,27.1,,34,2,,,19.4,120.38,,8.7,80,82.93,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/17/2021,25.6,22,23,,,122.67,,,15.7,59.04,,8.6,89.2,92.35,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/18/2021,24.8,20.6,22.4,,,1.18,,,11.2,58.08,,8.6,93.3,88.3,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/19/2021,31,22,26.2,,35,0.4,,,17.5,119.54,,7.7,75.5,83.89,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/20/2021,32,25.4,28.2,,37,0,,,23.2,131.71,,9.6,71.5,80.91,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/21/2021,32.2,26.5,28.7,,38.6,0.1,,,23.2,132.25,,10.1,73.7,79.44,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/22/2021,31.5,26.7,28.3,,37.7,0.1,,,21.4,127.04,,10,76.6,81.96,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/23/2021,30.5,26,27.8,,38.3,0.6,,,22.3,123.54,,9.7,89.9,88.09,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/24/2021,30.9,26,28.3,,38.8,0.7,,,20.5,120.5,,9.2,90.3,88.37,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/25/2021,29,25.5,26.9,,36.8,8.39,,,15.7,101.17,,6.6,94.6,95.31,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/26/2021,26.4,21.5,23.8,,,41.24,,,15.7,85.58,48.2,8.1,80.1,93.75,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/27/2021,27.2,21.5,24.2,,29.4,0.6,,,11.2,88.17,,10,87.6,82.08,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/28/2021,25.6,21.9,23.2,,,6.2,,,21.2,112.92,37.1,9.5,93.7,85.49,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/29/2021,28.6,20,24.1,,28.9,8.43,,,13.9,235.27,,10,42.1,69.76,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",04/30/2021,30,21,25.3,,31.7,0,,,19.4,110.91,,8.3,21.1,75.03,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/01/2021,29,23,25.6,,32.4,2.1,,,15.7,121.24,,8.4,67.4,83.5,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/02/2021,32,24.5,27.6,,37.5,4.44,,,19.4,121.71,,7.7,66.7,84.28,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/03/2021,33.5,26.8,29.1,,39.6,1.1,,,24.1,140.13,,9.8,76.5,78.96,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/04/2021,33.5,26,29.2,,38.7,0,,,23.2,114.54,,10,55.8,76.33,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/05/2021,27.4,22.7,24.6,,32,104.57,,,24.1,111.83,,9.2,75.5,92.42,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/06/2021,32.1,22.9,26.8,,36.5,0.4,,,14.8,179.26,,9,26.5,79.15,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/07/2021,32,25,28.1,,36,0,,,18.5,134,,8.2,48.3,80.07,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/08/2021,31,25,27.9,,39.9,0,,,16.6,116.78,,8.6,62.7,85.81,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/09/2021,33,26,29,,41.4,0,,,20.5,117.5,,9.7,69.5,82.43,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/10/2021,35,26.5,30.1,,43.2,0,,,25,125.79,,10.2,48.1,78.47,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/11/2021,35.5,25.1,29.3,,43.1,40.23,,,21.2,118.74,,9.1,51.4,79.41,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/12/2021,34.1,25,29.3,,43.4,2.76,,,21.4,107.96,,9.4,45.8,82.05,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/13/2021,32.3,24,27.5,,41.8,19.08,,,23.2,93.29,,9.4,73.9,88.13,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/14/2021,34,25,29.2,,41.4,0.18,,,23.2,125.88,,9.3,40.8,79,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/15/2021,33.5,27.8,30,,41.9,0.1,,,22.3,131.75,,10.3,63,80.95,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/16/2021,34.5,27,30.3,,43.3,0.2,,,24.1,119.71,,9.8,63.4,78.93,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/17/2021,34,27,29.9,,43.1,1.16,,,20.5,122.5,,9.8,61.8,81.56,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/18/2021,33,28,30.2,,41.6,5,,,24.1,128.46,,10.1,78,80.13,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/19/2021,35.5,27,30.8,,45.7,0,,,21.4,129.88,,10.6,52.8,77.92,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/20/2021,35.5,27,31,,44,0.2,,,22.3,103.79,,10,37.3,76.41,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/21/2021,33.5,27.5,30.1,,46.5,3.3,,,19.4,110.29,,9.7,60.6,84.15,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/22/2021,36.2,27.8,31.3,,47.7,0,,,25.9,116.75,,11.1,29,77.45,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/23/2021,35,28.8,31,,45,0.4,,,23.2,115,,10.8,59.4,79.33,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/24/2021,29.5,25,27.3,,36.8,8.55,,,20.3,187.96,,9.8,74,80.72,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/25/2021,27.7,23,25.7,,30.5,11.2,,,15.7,222.48,,8.5,81.5,83.64,"Rain, Overcast"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/26/2021,34,25,28.8,,40.1,3.09,,,22.3,151.39,,9.4,45.6,81.92,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/27/2021,33.1,27,29.9,,42.3,0,,,18.5,118.21,,10.6,32.8,79.15,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/28/2021,34.2,27,30.2,,42,60,,,19.4,109.67,,9.3,36.5,77.75,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/29/2021,36,28,31.2,,43.8,1.4,,,23.2,125.42,,9.4,49.3,76.21,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/30/2021,38.6,28,32.4,,44.2,0,,,15.7,116.65,,10.9,20.8,70.05,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",05/31/2021,39,29,33.6,,45.8,0,,,16.6,140.88,,11.6,12.6,63.6,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/01/2021,39.4,29,34.5,,45.5,0,,,18.5,161.83,,10.6,14.8,59.46,Clear
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/02/2021,39.5,29,33.5,,48.8,0,,,15.7,117.05,,9.3,25.6,67.6,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/03/2021,39.5,30,34.1,,47.6,0,,,18.4,137.04,,10,30.3,65.94,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/04/2021,31.3,26,27.7,,43.1,16.3,,,37.1,193.23,,10,44.5,71.04,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/05/2021,32.1,25.5,28.5,,38.5,1,,,7.6,178.47,,9.3,23.7,62.91,Rain
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/06/2021,33.1,26.5,29.5,,40.6,0,,,13.9,105.7,,6.4,60.8,73.92,Partially cloudy
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/07/2021,33.1,25.7,28.7,,39.1,54.06,,,18.6,100.13,,8.7,46.8,79.83,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/08/2021,33.5,25.6,28,,37.3,38.98,,,12.1,152.36,,8.6,68,83.16,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/09/2021,32,25.8,28.3,,39.9,35.63,,,17.5,168.86,,8.9,68.7,84.29,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/10/2021,31.5,27,28.6,,39.2,34.39,,,10.3,89.83,,9.5,56.2,86.99,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/11/2021,33,27,29.4,,39.9,4.98,,,19.5,115.75,,9.5,52.4,80.88,"Rain, Partially cloudy"
"Quận Hoàn Kiếm, Hà Nội, Việt Nam",06/12/2021,33,25.9,28.7,,40.7,52.49,,,18.4,265.83,31.7,8.8,62.9,84.49,"Rain, Partially cloudy"
